operacao,data,Atendentes,Falando,Ocioso,A - Improdutiva,Receptivo,A - Alô sem CPC,A - Alô com CPC negativo,A - Alô com CPC positivo,R - Improdutiva,R - Alô sem CPC,R - Alô com CPC negativo,R - Alô com CPC positivo,TotalPositivo,TotalProdutiva,PositivoPorPA,PositivoPorTempoLogado
CARTAO,2021-08-05,6,10.3019444,4.3797222,42,90,4,28,105,7,0,2,49,154,188,25,10.489272335111817
C6,2021-08-05,1,0.2144444,0.5838888,0,2,0,0,1,0,0,0,0,1,1,1,1.252609603340292
CONSIG,2021-08-05,15,65.1977777,3.9844444,167,285,62,8,620,25,1,25,181,801,897,53,11.578118977258127
VEICULOS,2021-08-05,22,34.6683333,0.0002777,16,194,68,47,527,0,0,0,0,527,642,23,15.201070452779091
CARTAO,2021-08-06,5,8.5813888,3.2072222,33,82,2,30,81,7,2,2,31,112,148,22,9.500695115342020
C6,2021-08-06,0,0.0000000,0.0000000,0,0,3,0,0,0,0,0,0,0,3,0,0.000000000000000
CONSIG,2021-08-06,16,65.6313888,4.1483333,158,356,64,5,576,33,1,16,234,810,896,50,11.607956784643740
VEICULOS,2021-08-06,19,35.3841666,2.5516666,56,294,158,55,545,0,0,0,0,545,758,28,14.366364255431320
VEICULOS,2021-08-07,23,37.6997222,0.0002777,14,256,27,0,553,0,0,0,0,553,580,24,14.668435013262599
CARTAO,2021-08-07,4,5.6727777,1.8763888,29,106,1,15,33,4,3,1,41,74,94,18,9.802406446627663
CONSIG,2021-08-07,13,40.8055555,12.2341666,199,40,102,2,513,4,0,3,28,541,648,41,10.199902588730668
VEICULOS,2021-08-09,17,33.9950000,1.8861111,48,352,102,58,492,0,0,0,0,492,652,28,13.711949958195275
CONSIG,2021-08-09,15,64.1752777,5.9536111,194,306,92,4,604,21,1,29,207,811,937,54,11.564421065973763
C6,2021-08-09,1,0.0911111,0.0122222,0,1,0,0,1,0,0,0,0,1,1,1,9.677419354838710
CARTAO,2021-08-09,5,2.7741666,2.5661111,35,7,2,12,33,0,0,0,2,35,49,7,6.553966189856957
VEICULOS,2021-08-10,17,35.8880555,1.4875000,115,375,195,63,364,0,0,0,0,364,622,21,9.738985670967358
C6,2021-08-10,1,0.2427777,2.0986111,0,5,0,1,3,0,0,0,0,3,4,3,1.281290781824653
CARTAO,2021-08-10,6,8.5211111,5.9277777,67,3,6,37,137,0,0,0,1,138,181,23,9.550907413103660
CONSIG,2021-08-10,16,63.5888888,4.8255555,177,331,71,3,528,29,2,29,208,736,841,46,10.757962093774869
CARTAO,2021-08-11,5,9.4208333,5.0980555,58,122,4,30,77,8,1,1,50,127,163,25,8.747225836075610
CONSIG,2021-08-11,13,57.3594444,3.9141666,160,300,42,2,459,18,0,17,226,685,746,52,11.179363964004805
C6,2021-08-11,1,0.3541666,3.6025000,1,4,2,1,3,0,0,0,0,3,6,3,0.758213984835720
VEICULOS,2021-08-11,19,44.1533333,0.0002777,56,330,267,64,581,0,0,0,0,581,912,30,13.158606632149126
CARTAO,2021-08-12,5,4.0894444,5.2330555,49,12,2,22,54,2,0,1,6,60,85,12,6.436041834271923
CONSIG,2021-08-12,15,58.5341666,10.1652777,254,71,85,7,685,5,0,15,41,726,833,48,10.567771047800807
C6,2021-08-12,1,0.2316666,1.4027777,1,5,1,0,2,0,0,0,0,2,3,2,1.223657375934738
VEICULOS,2021-08-12,22,54.2997222,2.4738888,102,631,421,58,409,0,0,0,0,409,888,18,7.204051177924016
C6,2021-08-13,1,0.1600000,0.6825000,0,2,0,0,2,0,0,0,0,2,2,2,2.373887240356083
CONSIG,2021-08-13,16,58.7211111,9.1616666,258,35,88,4,752,2,0,4,21,773,869,48,11.387277087135503
VEICULOS,2021-08-13,10,10.5136111,0.0000000,13,58,226,3,383,0,0,0,0,383,612,38,36.428967740230918
CARTAO,2021-08-13,4,3.1813888,4.8738888,38,1,5,10,45,0,0,0,1,46,61,11,5.710541742818718
CONSIG,2021-08-14,12,39.3816666,12.0477777,244,1,83,4,520,0,0,0,1,521,608,43,10.130383589167468
VEICULOS,2021-08-14,23,88.5688888,0.0013888,75,1274,312,160,291,0,0,0,0,291,763,12,3.285526559260851
CARTAO,2021-08-14,3,2.4733333,2.0022222,28,0,2,9,36,0,0,0,0,36,47,12,8.043694141012910
CARTAO,2021-08-16,4,3.2677777,3.9038888,54,5,2,18,43,0,0,0,0,43,63,10,5.995816871949802
VEICULOS,2021-08-16,17,17.4397222,0.0002777,18,329,51,23,127,0,0,0,0,127,201,7,7.282110091743119
C6,2021-08-16,1,0.3100000,3.3288888,2,8,0,0,5,0,0,0,0,5,5,5,1.374045801526718
CONSIG,2021-08-16,16,58.0333333,12.4041666,283,31,100,6,795,2,1,12,9,804,923,50,11.414374445430346
C6,2021-08-17,1,0.0558333,0.6063888,0,7,0,0,1,0,0,0,0,1,1,1,1.510067114093960
VEICULOS,2021-08-17,30,82.4502777,4.2800000,192,1079,338,87,775,0,0,0,0,775,1200,25,8.935749081603567
CARTAO,2021-08-17,5,1.3633333,3.0241666,22,2,1,12,18,0,0,0,2,20,33,4,4.558404558404558
CONSIG,2021-08-17,15,54.6483333,12.6325000,247,32,103,2,769,8,1,3,14,783,892,52,11.637786888291614
C6,2021-08-18,1,0.2538888,1.0036111,1,4,0,0,3,0,0,0,0,3,3,3,2.385685884691849
